Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
GD Elliott (NZ);9;0;9;7;1;0;128.57;1;v Bangladesh;Kolkata;26-Mar-16;
DA Warner (AUS);9;0;8;6;2;0;150;1;v Pakistan;Mohali;25-Mar-16;
F du Plessis (SA);9;0;9;7;0;1;128.57;1;v West Indies;Nagpur;25-Mar-16;
AC Agar (AUS);9;0;15;8;0;1;112.5;2;v New Zealand;Dharamsala;18-Mar-16;
GD Elliott (NZ);9;0;19;12;0;0;75;1;v India;Nagpur;15-Mar-16;
Shafiqullah (AFG);9;1;9;4;0;1;225;1;v Zimbabwe;Nagpur;12-Mar-16;
SR Watson (AUS);9;0;29;15;2;0;60;2;v South Africa;Johannesburg;06-Mar-16;
UT Khawaja (AUS);9;0;11;10;1;0;90;1;v South Africa;Durban;04-Mar-16;
JJ Roy (ENG);9;0;11;15;0;0;60;1;v South Africa;Johannesburg;21-Feb-16;
S Prasanna (SL);9;0;-;7;2;0;128.57;1;v India;Visakhapatnam;14-Feb-16;
MS Dhoni (INDIA);9;1;-;5;1;0;180;1;v Sri Lanka;Ranchi;12-Feb-16;
S Dhawan (INDIA);9;0;25;13;0;1;69.23;1;v Sri Lanka;Pune;09-Feb-16;
MD Gunathilaka (SL);9;0;21;18;0;1;50;2;v India;Pune;09-Feb-16;
SE Marsh (AUS);9;0;22;12;1;0;75;1;v India;Sydney;31-Jan-16;
Ahmed Shehzad (PAK);9;0;16;8;1;0;112.5;1;v New Zealand;Hamilton;17-Jan-16;
PJ Moor (ZIM);9;0;30;14;0;0;64.28;2;v Bangladesh;Khulna;17-Jan-16;
JJ Roy (ENG);9;0;10;6;1;0;150;1;v Pakistan;Dubai (DSC);26-Nov-15;
Mushfiqur Rahim (BDESH);9;0;11;8;1;0;112.5;1;v Zimbabwe;Dhaka;15-Nov-15;
AD Russell (WI);9;0;7;9;0;1;100;1;v Sri Lanka;Colombo (RPS);11-Nov-15;
AR Patel (INDIA);9;0;18;12;0;0;75;1;v South Africa;Cuttack;05-Oct-15;
H Masakadza (ZIM);9;0;19;14;0;1;64.28;2;v Pakistan;Harare;29-Sep-15;
R Mutumbami (ZIM);9;0;9;9;1;0;100;2;v Pakistan;Harare;27-Sep-15;
KM Jadhav (INDIA);9;0;10;7;1;0;128.57;1;v Zimbabwe;Harare;17-Jul-15;
AG Cremer (ZIM);9;0;19;14;0;0;64.28;2;v India;Harare;17-Jul-15;
MJ Santner (NZ);9;0;18;13;0;0;69.23;2;v England;Manchester;23-Jun-15;
Mohammad Hafeez (PAK);9;0;10;8;2;0;112.5;2;v New Zealand;Dubai (DSC);05-Dec-14;
JP Faulkner (AUS);9;0;-;8;0;1;112.5;2;v South Africa;Sydney;09-Nov-14;
DA Miller (SA);9;1;16;10;1;0;90;2;v Australia;Adelaide;05-Nov-14;
DR Smith (WI);9;0;8;6;2;0;150;1;v New Zealand;Roseau;06-Jul-14;
Kamran Akmal (PAK);9;0;20;12;2;0;75;1;v Bangladesh;Dhaka;30-Mar-14;
DPMD Jayawardene (SL);9;0;16;9;1;0;100;1;v South Africa;Chittagong;22-Mar-14;
Mahmudullah (BDESH);9;0;11;10;1;0;90;1;v Sri Lanka;Chittagong;14-Feb-14;
MJ Lumb (ENG);9;0;4;6;2;0;150;2;v Australia;Hobart;29-Jan-14;
