Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
GJ Bailey (AUS);60;1;33;28;7;3;214.28;2;v England;Melbourne;31-Jan-14;
BB McCullum (NZ);60;1;67;45;2;4;133.33;1;v West Indies;Auckland;11-Jan-14;
JM Bairstow (ENG);60;1;57;46;5;2;130.43;1;v Pakistan;Dubai (DSC);25-Feb-12;
JEC Franklin (NZ);60;0;60;37;3;5;162.16;2;v Zimbabwe;Hamilton;14-Feb-12;
MEK Hussey (AUS);60;1;38;24;3;6;250;2;v Pakistan;Gros Islet;14-May-10;
Yuvraj Singh (INDIA);60;1;45;25;3;5;240;2;v Sri Lanka;Mohali;12-Dec-09;
LRPL Taylor (NZ);60;0;57;45;5;1;133.33;1;v Sri Lanka;Colombo (RPS);02-Sep-09;
IR Bell (ENG);60;1;70;46;9;1;130.43;2;v New Zealand;Manchester;13-Jun-08;
DJ Malan (ENG);59;0;65;40;6;2;147.5;2;v New Zealand;Wellington;13-Feb-18;
MJ Guptill (NZ);59;0;-;43;2;4;137.2;2;v Pakistan;Mount Maunganui;28-Jan-18;
Q de Kock (SA);59;0;71;44;5;1;134.09;1;v Bangladesh;Bloemfontein;26-Oct-17;
TC Bruce (NZ);59;1;65;39;5;1;151.28;1;v Bangladesh;Mount Maunganui;06-Jan-17;
Khalid Latif (PAK);59;1;59;42;8;2;140.47;2;v England;Manchester;07-Sep-16;
Sharjeel Khan (PAK);59;0;46;36;7;3;163.88;2;v England;Manchester;07-Sep-16;
V Kohli (INDIA);59;1;44;33;7;1;178.78;1;v Australia;Melbourne;29-Jan-16;
Sikandar Raza (ZIM);59;0;49;41;5;1;143.9;1;v Afghanistan;Bulawayo;26-Oct-15;
TM Dilshan (SL);59;1;77;49;8;0;120.4;2;v New Zealand;Pallekele;21-Nov-13;
AP Devcich (NZ);59;0;39;31;10;1;190.32;1;v Bangladesh;Dhaka;06-Nov-13;
KC Sangakkara (SL);59;1;70;53;9;0;111.32;2;v South Africa;Colombo (RPS);02-Aug-13;
H Masakadza (ZIM);59;0;69;48;4;1;122.91;1;v Bangladesh;Bulawayo;11-May-13;
MJ Guptill (NZ);59;0;77;55;2;1;107.27;1;v England;Wellington;15-Feb-13;
DA Warner (AUS);59;0;53;34;1;6;173.52;1;v Pakistan;Dubai (DSC);10-Sep-12;
RS Bopara (ENG);59;0;75;44;4;1;134.09;2;v West Indies;Nottingham;24-Jun-12;
MEK Hussey (AUS);59;1;-;45;4;2;131.11;2;v West Indies;Gros Islet;27-Mar-12;
SR Watson (AUS);59;0;35;31;6;3;190.32;1;v England;Adelaide;12-Jan-11;
BRM Taylor (ZIM);59;0;66;39;4;3;151.28;2;v South Africa;Kimberley;10-Oct-10;
CJ Chibhabha (ZIM);59;0;44;41;6;2;143.9;2;v South Africa;Kimberley;10-Oct-10;
DJ Hussey (AUS);59;0;73;54;2;2;109.25;1;v England;Bridgetown;16-May-10;
KC Sangakkara (SL);59;0;48;31;8;2;190.32;1;v India;Mohali;12-Dec-09;
Kamran Akmal (PAK);59;1;-;42;5;3;140.47;2;v Australia;Dubai (DSC);07-May-09;
RR Sarwan (WI);59;0;69;46;4;2;128.26;2;v England;Port of Spain;15-Mar-09;
BB McCullum (NZ);59;0;49;34;6;4;173.52;1;v West Indies;Hamilton;28-Dec-08;
LD Chandimal (SL);58;0;-;43;6;1;134.88;2;v Australia;Pallekele;06-Sep-16;
KM Jadhav (INDIA);58;0;70;42;7;1;138.09;1;v Zimbabwe;Harare;22-Jun-16;
UT Khawaja (AUS);58;0;61;45;7;1;128.88;2;v Bangladesh;Bengaluru;21-Mar-16;
HM Amla (SA);58;0;49;31;7;3;187.09;1;v England;Mumbai;18-Mar-16;
LD Chandimal (SL);58;0;55;49;7;1;118.36;1;v Pakistan;Dhaka;04-Mar-16;
Sarfraz Ahmed (PAK);58;1;74;42;5;2;138.09;1;v Bangladesh;Dhaka;02-Mar-16;
MJ Guptill (NZ);58;0;43;34;4;4;170.58;1;v Sri Lanka;Mount Maunganui;07-Jan-16;
SC Williams (ZIM);58;1;52;32;7;1;181.25;1;v Pakistan;Lahore;24-May-15;
F du Plessis (SA);58;0;53;41;5;2;141.46;1;v India;Dhaka;04-Apr-14;
Anamul Haque (BDESH);58;0;69;45;7;0;128.88;2;v Sri Lanka;Chittagong;12-Feb-14;
CL White (AUS);58;1;63;45;9;0;128.88;2;v England;Melbourne;31-Jan-14;
F du Plessis (SA);58;1;56;48;1;3;120.83;1;v Pakistan;Dubai (DSC);15-Nov-13;
RJ Nicol (NZ);58;0;71;40;3;4;145;1;v Sri Lanka;Pallekele;27-Sep-12;
CH Gayle (WI);58;0;46;35;6;4;165.71;1;v England;Pallekele;27-Sep-12;
DA Warner (AUS);58;0;58;43;5;3;134.88;2;v West Indies;Bridgetown;30-Mar-12;
MN Samuels (WI);58;0;60;42;2;4;138.09;1;v Bangladesh;Dhaka;11-Oct-11;
C Kieswetter (ENG);58;1;62;49;3;2;118.36;2;v West Indies;The Oval;23-Sep-11;
GC Smith (SA);58;0;33;29;9;2;200;2;v Zimbabwe;Bloemfontein;08-Oct-10;
AD Mathews (SL);58;0;68;45;3;1;128.88;1;v England;Gros Islet;13-May-10;
LE Bosman (SA);58;0;42;31;5;4;187.09;2;v England;Johannesburg;13-Nov-09;
Imran Nazir (PAK);58;0;48;38;5;4;152.63;1;v New Zealand;Dubai (DSC);12-Nov-09;
KP Pietersen (ENG);58;0;70;38;5;3;152.63;1;v Pakistan;The Oval;07-Jun-09;
ADS Fletcher (WI);57;0;40;25;3;6;228;2;v Sri Lanka;Pallekele;09-Nov-15;
KS Williamson (NZ);57;0;65;37;8;0;154.05;2;v England;Manchester;23-Jun-15;
Shakib Al Hasan (BDESH);57;1;67;41;9;0;139.02;2;v Pakistan;Dhaka;24-Apr-15;
V Kohli (INDIA);57;1;66;50;3;1;114;2;v Bangladesh;Dhaka;28-Mar-14;
EJG Morgan (ENG);57;0;73;38;7;2;150;2;v Sri Lanka;Chittagong;27-Mar-14;
MDKJ Perera (SL);57;0;51;37;6;2;154.05;2;v New Zealand;Pallekele;21-Nov-13;
J Charles (WI);57;0;49;35;7;1;162.85;1;v Australia;Brisbane;13-Feb-13;
Shoaib Malik (PAK);57;1;77;50;3;3;114;2;v India;Bengaluru;25-Dec-12;
SR Watson (AUS);57;0;22;24;6;5;237.5;2;v Sri Lanka;Pallekele;08-Aug-11;
PD Collingwood (ENG);57;0;53;32;3;4;178.12;1;v South Africa;Johannesburg;13-Nov-09;
TM Dilshan (SL);57;0;40;28;8;2;203.57;2;v New Zealand;Colombo (RPS);02-Sep-09;
JH Kallis (SA);57;1;74;49;5;1;116.32;2;v England;Nottingham;11-Jun-09;
BB McCullum (NZ);57;0;74;54;6;0;105.55;2;v South Africa;Lord's;09-Jun-09;
GD Phillips (NZ);56;0;52;40;4;2;140;1;v West Indies;Nelson;29-Dec-17;
MC Henriques (AUS);56;1;63;37;2;2;151.35;1;v Sri Lanka;Geelong;19-Feb-17;
MS Dhoni (INDIA);56;0;56;36;5;2;155.55;1;v England;Bengaluru;01-Feb-17;
HM Amla (SA);56;1;69;52;5;1;107.69;2;v Sri Lanka;Delhi;28-Mar-16;
V Kohli (INDIA);56;1;85;47;7;0;119.14;2;v Sri Lanka;Dhaka;01-Mar-16;
Umar Akmal (PAK);56;1;43;27;4;4;207.4;1;v New Zealand;Hamilton;17-Jan-16;
C Munro (NZ);56;0;-;27;2;6;207.4;2;v Pakistan;Auckland;15-Jan-16;
TM Dilshan (SL);56;0;57;37;8;0;151.35;1;v West Indies;Pallekele;09-Nov-15;
Gulbadin Naib (AFG);56;1;49;31;7;0;180.64;2;v Zimbabwe;Bulawayo;28-Oct-15;
HM Amla (SA);56;0;45;37;6;2;151.35;1;v England;Chittagong;29-Mar-14;
RG Sharma (INDIA);56;0;60;44;5;1;127.27;2;v Bangladesh;Dhaka;28-Mar-14;
AD Hales (ENG);56;0;52;35;7;2;160;1;v India;Pune;20-Dec-12;
Nasir Jamshed (PAK);56;0;46;35;2;4;160;1;v New Zealand;Pallekele;23-Sep-12;
RJ Nicol (NZ);56;0;42;37;4;4;151.35;2;v Zimbabwe;Hamilton;14-Feb-12;
G Gambhir (INDIA);56;1;91;60;4;0;93.33;2;v Australia;Melbourne;03-Feb-12;
LD Chandimal (SL);56;0;-;44;6;0;127.27;1;v Pakistan;Abu Dhabi;25-Nov-11;
Umar Akmal (PAK);56;1;43;35;2;4;160;1;v Australia;Gros Islet;14-May-10;
BB McCullum (NZ);56;1;35;27;7;2;207.4;2;v Bangladesh;Hamilton;03-Feb-10;
Umar Akmal (PAK);56;1;66;49;5;1;114.28;1;v New Zealand;Dubai (DSC);13-Nov-09;
BB McCullum (NZ);56;1;88;49;2;3;114.28;2;v India;Christchurch;25-Feb-09;
Babar Azam (PAK);55;1;49;37;6;2;148.64;2;v West Indies;Dubai (DSC);23-Sep-16;
DJ Bravo (WI);55;0;84;54;4;2;101.85;1;v Pakistan;Dubai (DSC);23-Sep-16;
V Kohli (INDIA);55;1;66;37;7;1;148.64;2;v Pakistan;Kolkata;19-Mar-16;
Ahmed Shehzad (PAK);55;0;58;39;6;1;141.02;2;v Zimbabwe;Lahore;22-May-15;
TM Dilshan (SL);55;0;98;47;4;2;117.02;1;v England;Chittagong;27-Mar-14;
D Ramdin (WI);55;1;40;31;3;3;177.41;1;v New Zealand;Wellington;15-Jan-14;
Mohammad Hafeez (PAK);55;0;39;26;6;3;211.53;2;v India;Ahmedabad;28-Dec-12;
H Davids (SA);55;0;46;38;7;1;144.73;1;v New Zealand;East London;23-Dec-12;
Nasir Jamshed (PAK);55;0;60;46;4;2;119.56;1;v Australia;Colombo (RPS);02-Oct-12;
RG Sharma (INDIA);55;1;48;33;5;1;166.66;1;v England;Colombo (RPS);23-Sep-12;
EJG Morgan (ENG);55;0;-;35;3;3;157.14;1;v West Indies;Providence;03-May-10;
G Gambhir (INDIA);55;0;-;26;11;0;211.53;2;v Sri Lanka;Nagpur;09-Dec-09;
CL White (AUS);55;0;-;36;1;3;152.77;1;v England;Manchester;30-Aug-09;
RS Bopara (ENG);55;0;61;47;5;0;117.02;1;v West Indies;The Oval;15-Jun-09;
HH Gibbs (SA);55;0;27;35;8;1;157.14;1;v West Indies;The Oval;13-Jun-09;
KC Sangakkara (SL);55;1;77;42;4;2;130.95;2;v Australia;Nottingham;08-Jun-09;
MD Shanaka (SL);54;0;-;36;5;3;150;2;v Pakistan;Lahore;29-Oct-17;
AD Mathews (SL);54;1;63;50;1;3;108;2;v South Africa;Johannesburg;22-Jan-17;
E Chigumbura (ZIM);54;1;-;26;1;7;207.69;1;v India;Harare;18-Jun-16;
JE Root (ENG);54;0;62;36;7;0;150;1;v West Indies;Kolkata;03-Apr-16;
JP Duminy (SA);54;1;39;28;3;3;192.85;1;v England;Mumbai;18-Mar-16;
JC Buttler (ENG);54;0;40;28;4;4;192.85;1;v South Africa;Johannesburg;21-Feb-16;
Mahmudullah (BDESH);54;0;61;41;5;2;131.7;2;v Zimbabwe;Khulna;22-Jan-16;
SC Williams (ZIM);54;0;39;26;8;2;207.69;1;v Afghanistan;Bulawayo;28-Oct-15;
CJ Chibhabha (ZIM);54;0;69;47;6;0;114.89;1;v Afghanistan;Bulawayo;26-Oct-15;
E Chigumbura (ZIM);54;0;54;35;8;1;154.28;1;v Pakistan;Lahore;22-May-15;
V Kohli (INDIA);54;0;51;41;5;1;131.7;2;v West Indies;Dhaka;23-Mar-14;
Mohammad Hafeez (PAK);54;1;65;40;3;2;135;1;v Zimbabwe;Harare;24-Aug-13;
JC Buttler (ENG);54;0;35;30;9;1;180;2;v New Zealand;Hamilton;12-Feb-13;
MEK Hussey (AUS);54;1;74;47;4;1;114.89;2;v Pakistan;Colombo (RPS);02-Oct-12;
CH Gayle (WI);54;0;47;33;5;4;163.63;1;v Australia;Colombo (RPS);22-Sep-12;
DJ Bravo (WI);54;1;56;36;1;3;150;1;v England;Nottingham;24-Jun-12;
KA Pollard (WI);54;1;-;26;2;5;207.69;1;v Australia;Gros Islet;27-Mar-12;
Ahmed Shehzad (PAK);54;0;42;34;10;0;158.82;1;v New Zealand;Christchurch;30-Dec-10;
MJ Guptill (NZ);54;0;45;29;4;4;186.2;2;v Pakistan;Auckland;26-Dec-10;
SR Watson (AUS);54;0;40;32;1;6;168.75;1;v India;Bridgetown;07-May-10;
Shahid Afridi (PAK);54;1;52;40;2;2;135;2;v Sri Lanka;Lord's;21-Jun-09;
C Munro (NZ);53;0;48;37;6;2;143.24;1;v West Indies;Nelson;29-Dec-17;
EMDY Munaweera (SL);53;0;-;29;5;4;182.75;1;v India;Colombo (RPS);06-Sep-17;
Ahmed Shehzad (PAK);53;0;-;45;6;1;117.77;2;v West Indies;Port of Spain;02-Apr-17;
AJ Finch (AUS);53;0;-;32;5;3;165.62;1;v Sri Lanka;Adelaide;22-Feb-17;
DA Miller (SA);53;1;51;35;3;3;151.42;2;v Australia;Durban;04-Mar-16;
KS Williamson (NZ);53;0;60;42;5;1;126.19;1;v Sri Lanka;Mount Maunganui;07-Jan-16;
SW Billings (ENG);53;0;27;25;5;2;212;1;v Pakistan;Dubai (DSC);26-Nov-15;
DA Warner (AUS);53;1;58;39;4;3;135.89;2;v Pakistan;Dubai (DSC);05-Oct-14;
CH Gayle (WI);53;0;52;35;6;2;151.42;2;v Australia;Dhaka;28-Mar-14;
DA Warner (AUS);53;0;56;42;5;3;126.19;2;v England;Chester-le-Street;31-Aug-13;
Shamsur Rahman (BDESH);53;0;61;48;7;1;110.41;2;v Zimbabwe;Bulawayo;11-May-13;
H Masakadza (ZIM);53;1;66;51;6;0;103.92;2;v West Indies;North Sound;03-Mar-13;
MJ Lumb (ENG);53;1;50;34;1;5;155.88;2;v New Zealand;Wellington;15-Feb-13;
CH Gayle (WI);53;0;64;39;3;4;135.89;1;v New Zealand;Lauderhill;01-Jul-12;
H Masakadza (ZIM);53;0;40;36;3;3;147.22;1;v New Zealand;Auckland;11-Feb-12;
KP Pietersen (ENG);53;0;42;39;5;3;135.89;2;v India;Kolkata;29-Oct-11;
DA Warner (AUS);53;0;62;31;6;2;170.96;2;v Sri Lanka;Pallekele;06-Aug-11;
AJ Finch (AUS);53;1;35;33;4;2;160.6;1;v England;Melbourne;14-Jan-11;
RG Sharma (INDIA);53;0;38;34;5;2;155.88;1;v South Africa;Durban;09-Jan-11;
JH Kallis (SA);53;0;51;45;1;3;117.77;1;v West Indies;North Sound;19-May-10;
AB de Villiers (SA);53;0;38;41;1;2;129.26;2;v Pakistan;Gros Islet;10-May-10;
KP Pietersen (ENG);53;0;41;33;8;1;160.6;1;v South Africa;Bridgetown;08-May-10;
DJ Hussey (AUS);53;0;28;29;2;5;182.75;1;v Pakistan;Gros Islet;02-May-10;
TM Dilshan (SL);53;0;46;32;10;0;165.62;2;v Australia;Nottingham;08-Jun-09;
ADS Fletcher (WI);53;0;63;32;7;1;165.62;2;v Australia;The Oval;06-Jun-09;
MEK Hussey (AUS);53;1;62;33;5;1;160.6;2;v South Africa;Brisbane;13-Jan-09;
RR Sarwan (WI);53;0;55;36;3;3;147.22;2;v New Zealand;Hamilton;28-Dec-08;
H Masakadza (ZIM);53;0;48;38;5;3;139.47;1;v Pakistan;King City (NW);12-Oct-08;
DAS Gunaratne (SL);52;0;41;37;7;0;140.54;2;v Australia;Melbourne;17-Feb-17;
Mahmudullah (BDESH);52;0;62;47;3;3;110.63;1;v New Zealand;Napier;03-Jan-17;
Mandeep Singh (INDIA);52;1;56;40;6;1;130;2;v Zimbabwe;Harare;20-Jun-16;
J Charles (WI);52;0;66;36;7;2;144.44;2;v India;Mumbai;31-Mar-16;
Q de Kock (SA);52;0;32;24;7;3;216.66;1;v England;Mumbai;18-Mar-16;
Ahmed Shehzad (PAK);52;0;67;39;8;0;133.33;1;v Bangladesh;Kolkata;16-Mar-16;
Mohammad Nabi (AFG);52;0;54;32;4;2;162.5;1;v Zimbabwe;Nagpur;12-Mar-16;
RG Sharma (INDIA);52;0;57;38;5;1;136.84;2;v Australia;Sydney;31-Jan-16;
TM Dilshan (SL);52;0;70;38;5;0;136.84;2;v West Indies;Colombo (RPS);11-Nov-15;
ADS Fletcher (WI);52;0;55;39;1;4;133.33;1;v New Zealand;Roseau;05-Jul-14;
KC Sangakkara (SL);52;1;39;35;6;1;148.57;2;v India;Dhaka;06-Apr-14;
AJ Finch (AUS);52;0;46;31;5;3;167.74;1;v England;Hobart;29-Jan-14;
LJ Wright (ENG);52;0;53;34;6;1;152.94;2;v New Zealand;The Oval;25-Jun-13;
Shahid Afridi (PAK);52;1;46;33;5;1;157.57;1;v Sri Lanka;Hambantota;03-Jun-12;
JD Ryder (NZ);52;0;56;42;5;2;123.8;2;v South Africa;Auckland;22-Feb-12;
SR Watson (AUS);52;0;45;39;6;2;133.33;2;v South Africa;Cape Town;13-Oct-11;
CJ Chibhabha (ZIM);52;0;34;32;6;2;162.5;1;v South Africa;Bloemfontein;08-Oct-10;
JD Ryder (NZ);52;0;54;37;3;3;140.54;1;v Sri Lanka;Colombo (RPS);04-Sep-09;
Shoaib Malik (PAK);51;0;-;24;5;2;212.5;1;v Sri Lanka;Lahore;29-Oct-17;
MD Gunathilaka (SL);51;0;-;48;4;1;106.25;1;v Pakistan;Abu Dhabi;27-Oct-17;
E Lewis (WI);51;0;44;28;6;3;182.14;1;v England;Chester-le-Street;16-Sep-17;
MK Pandey (INDIA);51;1;-;36;4;1;141.66;2;v Sri Lanka;Colombo (RPS);06-Sep-17;
EJG Morgan (ENG);51;0;46;38;1;4;134.21;2;v India;Kanpur;26-Jan-17;
S Dhawan (INDIA);51;0;-;25;7;2;204;1;v Sri Lanka;Ranchi;12-Feb-16;
AB de Villiers (SA);51;0;43;32;7;1;159.37;2;v India;Dharamsala;02-Oct-15;
Sabbir Rahman (BDESH);51;1;43;32;7;1;159.37;2;v Pakistan;Dhaka;24-Apr-15;
RR Rossouw (SA);51;1;68;40;5;0;127.5;1;v West Indies;Cape Town;09-Jan-15;
KS Williamson (NZ);51;0;63;35;5;2;145.71;2;v South Africa;Chittagong;24-Mar-14;
L Ronchi (NZ);51;1;37;28;4;2;182.14;2;v West Indies;Wellington;15-Jan-14;
JP Duminy (SA);51;1;51;34;3;2;150;1;v Sri Lanka;Hambantota;06-Aug-13;
JP Duminy (SA);51;0;67;52;3;1;98.07;1;v Sri Lanka;Colombo (RPS);02-Aug-13;
AC Voges (AUS);51;0;41;33;2;2;154.54;2;v West Indies;Brisbane;13-Feb-13;
Mohammad Hafeez (PAK);51;0;53;38;5;1;134.21;1;v Zimbabwe;Harare;18-Sep-11;
Umar Akmal (PAK);51;0;43;33;2;4;154.54;1;v South Africa;Gros Islet;10-May-10;
IJL Trott (ENG);51;0;51;40;1;3;127.5;2;v South Africa;Centurion;15-Nov-09;
Shahid Afridi (PAK);51;0;46;34;8;0;150;1;v South Africa;Nottingham;18-Jun-09;
DJ Bravo (WI);51;0;38;38;5;2;134.21;2;v Sri Lanka;Nottingham;10-Jun-09;
DJ Malan (ENG);50;0;62;36;5;2;138.88;1;v Australia;Hobart;07-Feb-18;
Babar Azam (PAK);50;1;45;29;5;1;172.41;1;v New Zealand;Auckland;25-Jan-18;
Fakhar Zaman (PAK);50;0;46;28;5;3;178.57;1;v New Zealand;Auckland;25-Jan-18;
CK Kapugedera (SL);50;0;-;35;5;1;142.85;2;v Bangladesh;Colombo (RPS);06-Apr-17;
Shakib Al Hasan (BDESH);50;1;65;40;5;1;125;2;v Pakistan;Kolkata;16-Mar-16;
V Kohli (INDIA);50;0;49;36;2;1;138.88;2;v Australia;Sydney;31-Jan-16;
Sabbir Rahman (BDESH);50;0;46;32;9;0;156.25;2;v Zimbabwe;Khulna;20-Jan-16;
C Munro (NZ);50;1;16;14;1;7;357.14;2;v Sri Lanka;Auckland;10-Jan-16;
Sharjeel Khan (PAK);50;0;43;25;5;3;200;2;v Sri Lanka;Dubai (DSC);13-Dec-13;
AD Mathews (SL);50;0;43;34;5;1;147.05;1;v Pakistan;Dubai (DSC);11-Dec-13;
Mushfiqur Rahim (BDESH);50;0;46;29;7;1;172.41;2;v New Zealand;Dhaka;06-Nov-13;
MJ Lumb (ENG);50;0;43;34;6;2;147.05;2;v India;Mumbai;22-Dec-12;
JEC Franklin (NZ);50;0;48;33;4;2;151.51;1;v England;Pallekele;29-Sep-12;
MN Samuels (WI);50;0;64;35;4;2;142.85;1;v Sri Lanka;Pallekele;29-Sep-12;
MN Samuels (WI);50;0;45;32;3;4;156.25;1;v Australia;Colombo (RPS);22-Sep-12;
Nasir Hossain (BDESH);50;0;38;39;6;1;128.2;2;v New Zealand;Pallekele;21-Sep-12;
RE Levi (SA);50;1;55;44;6;0;113.63;2;v Zimbabwe;Hambantota;20-Sep-12;
V Kohli (INDIA);50;0;60;39;4;2;128.2;1;v Afghanistan;Colombo (RPS);19-Sep-12;
C Kieswetter (ENG);50;0;51;32;3;3;156.25;1;v South Africa;Birmingham;12-Sep-12;
BRM Taylor (ZIM);50;1;73;46;5;0;108.69;1;v New Zealand;Harare;15-Oct-11;
Kamran Akmal (PAK);50;0;41;34;6;2;147.05;1;v Australia;Gros Islet;14-May-10;
Noor Ali Zadran (AFG);50;0;56;48;4;0;104.16;1;v India;Gros Islet;01-May-10;
Shahid Afridi (PAK);50;0;58;37;4;2;135.13;1;v Sri Lanka;Colombo (RPS);12-Aug-09;
Younis Khan (PAK);50;0;50;37;4;0;135.13;2;v Sri Lanka;Lord's;12-Jun-09;
G Gambhir (INDIA);50;0;70;46;4;0;108.69;1;v Bangladesh;Nottingham;06-Jun-09;
Yuvraj Singh (INDIA);50;0;33;34;3;4;147.05;1;v New Zealand;Wellington;27-Feb-09;
Shoaib Khan jnr (PAK);50;0;60;54;6;0;92.59;2;v Zimbabwe;King City (NW);12-Oct-08;
C Munro (NZ);49;1;72;43;3;2;113.95;2;v Pakistan;Wellington;22-Jan-18;
MS Dhoni (INDIA);49;0;44;37;2;3;132.43;2;v New Zealand;Rajkot;04-Nov-17;
AB de Villiers (SA);49;0;39;27;8;0;181.48;1;v Bangladesh;Bloemfontein;26-Oct-17;
Mahmudullah (BDESH);49;1;38;29;7;1;168.96;1;v Australia;Bengaluru;21-Mar-16;
Shahid Afridi (PAK);49;0;32;19;4;4;257.89;1;v Bangladesh;Kolkata;16-Mar-16;
V Kohli (INDIA);49;0;71;51;7;0;96.07;2;v Pakistan;Dhaka;27-Feb-16;
SK Raina (INDIA);49;1;38;25;6;1;196;2;v Australia;Sydney;31-Jan-16;
MN Waller (ZIM);49;0;33;23;2;4;213.04;1;v Bangladesh;Khulna;20-Jan-16;
MN Waller (ZIM);49;1;-;37;2;2;132.43;2;v Afghanistan;Sharjah;08-Jan-16;
V Sibanda (ZIM);49;0;74;46;2;1;106.52;1;v Pakistan;Lahore;24-May-15;
LMP Simmons (WI);49;0;36;31;6;2;158.06;2;v South Africa;Durban;14-Jan-15;
RR Hendricks (SA);49;0;-;48;5;0;102.08;1;v Australia;Sydney;09-Nov-14;
JP Duminy (SA);49;0;-;51;3;1;96.07;1;v Australia;Melbourne;07-Nov-14;
NLTC Perera (SL);49;0;25;20;7;2;245;1;v England;The Oval;20-May-14;
GJ Bailey (AUS);49;1;30;20;4;3;245;1;v England;Sydney;02-Feb-14;
Umar Akmal (PAK);49;0;55;41;4;1;119.51;1;v South Africa;Dubai (DSC);13-Nov-13;
KA Pollard (WI);49;1;53;36;4;2;136.11;1;v Pakistan;Kingstown;27-Jul-13;
MN Waller (ZIM);49;0;50;34;4;2;144.11;1;v West Indies;North Sound;02-Mar-13;
EJG Morgan (ENG);49;1;51;26;5;2;188.46;2;v India;Mumbai;22-Dec-12;
G Gambhir (INDIA);49;1;36;28;7;1;175;2;v South Africa;Johannesburg;30-Mar-12;
EJG Morgan (ENG);49;0;39;27;7;1;181.48;2;v India;Manchester;31-Aug-11;
DA Warner (AUS);49;0;33;32;6;2;153.12;1;v West Indies;Hobart;21-Feb-10;
BB McCullum (NZ);49;0;44;34;4;2;144.11;1;v Sri Lanka;Colombo (RPS);04-Sep-09;
TM Head (AUS);48;1;56;34;5;1;141.17;2;v India;Guwahati;10-Oct-17;
KD Karthik (INDIA);48;0;-;29;5;3;165.51;1;v West Indies;Kingston;09-Jul-17;
Kamran Akmal (PAK);48;0;-;37;4;2;129.72;1;v West Indies;Port of Spain;01-Apr-17;
Sabbir Rahman (BDESH);48;0;56;32;3;3;150;2;v New Zealand;Mount Maunganui;06-Jan-17;
MK Pandey (INDIA);48;0;-;35;1;3;137.14;2;v Zimbabwe;Harare;18-Jun-16;
Najibullah Zadran (AFG);48;1;45;40;4;1;120;1;v West Indies;Nagpur;27-Mar-16;
JE Root (ENG);48;0;42;36;3;2;133.33;1;v West Indies;Mumbai;16-Mar-16;
Umar Akmal (PAK);48;0;49;37;4;2;129.72;2;v Sri Lanka;Dhaka;04-Mar-16;
Soumya Sarkar (BDESH);48;0;63;48;5;1;100;2;v Pakistan;Dhaka;02-Mar-16;
HM Amla (SA);48;0;72;41;4;1;117.07;2;v New Zealand;Durban;14-Aug-15;
CK Kapugedera (SL);48;1;37;25;2;4;192;1;v Pakistan;Colombo (RPS);01-Aug-15;
CJ Anderson (NZ);48;0;56;37;1;4;129.72;1;v Pakistan;Dubai (DSC);04-Dec-14;
Q de Kock (SA);48;0;-;27;5;2;177.77;1;v Australia;Sydney;09-Nov-14;
DA Warner (AUS);48;0;43;35;5;3;137.14;2;v Bangladesh;Dhaka;01-Apr-14;
CH Gayle (WI);48;0;74;48;3;2;100;1;v Bangladesh;Dhaka;25-Mar-14;
L Ronchi (NZ);48;1;29;25;3;4;192;1;v West Indies;Auckland;11-Jan-14;
TM Dilshan (SL);48;0;53;33;8;0;145.45;1;v Pakistan;Dubai (DSC);13-Dec-13;
HM Amla (SA);48;0;67;40;5;0;120;2;v Pakistan;Cape Town;22-Nov-13;
HM Amla (SA);48;0;60;41;3;2;117.07;1;v Pakistan;Dubai (DSC);15-Nov-13;
Q de Kock (SA);48;1;52;38;3;2;126.31;2;v Pakistan;Dubai (DSC);13-Nov-13;
JL Ontong (SA);48;0;39;30;1;3;160;1;v New Zealand;Port Elizabeth;26-Dec-12;
JP Duminy (SA);48;0;55;38;2;2;126.31;1;v Pakistan;Colombo (RPS);28-Sep-12;
JH Kallis (SA);48;1;81;44;7;0;109.09;2;v England;Chester-le-Street;08-Sep-12;
E Chigumbura (ZIM);48;0;29;24;3;4;200;1;v New Zealand;Auckland;11-Feb-12;
KS Williamson (NZ);48;0;62;38;5;0;126.31;2;v Zimbabwe;Auckland;11-Feb-12;
MS Dhoni (INDIA);48;1;55;43;1;3;111.62;2;v Australia;Sydney;01-Feb-12;
Misbah-ul-Haq (PAK);48;1;-;38;3;1;126.31;2;v Sri Lanka;Abu Dhabi;25-Nov-11;
M Vijay (INDIA);48;0;59;46;2;3;104.34;2;v Afghanistan;Gros Islet;01-May-10;
TM Dilshan (SL);48;0;49;37;5;0;129.72;1;v New Zealand;Nottingham;16-Jun-09;
RE van der Merwe (SA);48;0;28;30;2;4;160;1;v Australia;Centurion;29-Mar-09;
AD Hales (ENG);47;0;34;24;6;3;195.83;2;v New Zealand;Wellington;13-Feb-18;
WU Tharanga (SL);47;0;59;29;3;2;162.06;2;v India;Indore;22-Dec-17;
Soumya Sarkar (BDESH);47;0;44;31;5;2;151.61;2;v South Africa;Bloemfontein;26-Oct-17;
JM Bairstow (ENG);47;0;53;37;8;1;127.02;2;v South Africa;Taunton;23-Jun-17;
AD Hales (ENG);47;1;58;38;3;2;123.68;2;v South Africa;Southampton;21-Jun-17;
