Name;Order;Runs;Balls;4s;6s;SR;minutes at crease;Players Team;Match;Result;Team1;;Team1 Innings;Wickets1;Team2;Team2 Innings;Wickets2;
S Sohal;7;4;4;0;0;100;none recorded;Kings XI Punjab Innings (20 overs maximum);6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
M Kaif;1;5;8;1;0;62.5;none recorded;Rajasthan Royals;6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
Kamran Akmal æ;2;15;10;2;1;150;none recorded;Rajasthan Royals;6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
YK Pathan;3;7;5;1;0;140;none recorded;Rajasthan Royals;6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
SR Watson;4;76;49;5;5;155.1;none recorded;Rajasthan Royals;6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
DS Lehmann;5;17;16;3;0;106.25;none recorded;Rajasthan Royals;6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
RA Jadeja;6;36;25;5;1;144;none recorded;Rajasthan Royals;6th match (N), Indian Premier League at Jaipur, Apr 21 2008;Royals won by 6 wickets (with 11 balls remaining);Kings XI Punjab;;166;8;Rajasthan Royals;168;4¾;18,1/20 ov)
AC Gilchrist æ;1;8;9;0;1;88.88;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
Y Venugopal Rao;2;14;22;2;0;63.63;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
VVS Laxman (c);3;2;6;0;0;33.33;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
A Symonds;4;12;13;2;0;92.3;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
RG Sharma;5;66;36;6;4;183.33;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
Shahid Afridi;6;2;7;0;0;28.57;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
SB Bangar;7;8;14;0;0;57.14;none recorded;Deccan Chargers Innings (20 overs maximum);7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
G Gambhir;1;12;9;2;0;133.33;none recorded;Delhi Daredevils;7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
V Sehwag (c);2;94;41;10;6;229.26;none recorded;Delhi Daredevils;7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
S Dhawan;3;25;28;3;0;89.28;none recorded;Delhi Daredevils;7th match (N), Indian Premier League at Hyderabad, Apr 22 2008;Daredevils won by 9 wickets (with 42 balls remaining);Deccan Chargers;;142;8;Delhi Daredevils;143;1¾;13/20 ov)
PA Patel;1;14;11;3;0;127.27;14;Chennai Super Kings Innings (20 overs maximum);8th match (N), Indian Premier League at Chennai, Apr 23 2008;Super Kings won by 6 runs;Chennai Super Kings;;208;5;Mumbai Indians;202;7¾;20 ov)
